colonia,alcaldia,casos_totales,longitude,latitude
POPOTLA I,MIGUEL HIDALGO,7,  -99.1779019651,19.4568249082 
POPOTLA II,MIGUEL HIDALGO,24,  -99.1794381102,19.4525968974 
SAN MIGUEL CHAPULTEPEC I,MIGUEL HIDALGO,16,  -99.1904160058,19.4148567446 
SAN MIGUEL CHAPULTEPEC II,MIGUEL HIDALGO,9,  -99.1837523189,19.4119025025 
ADOLFO LOPEZ MATEOS,VENUSTIANO CARRANZA,18,  -99.0721839543,19.4200520013 
AERONAUTICA MILITAR,VENUSTIANO CARRANZA,6,  -99.1157518113,19.4208650922 
AQUILES SERDAN,VENUSTIANO CARRANZA,18,  -99.0916813571,19.4470813778 
ARTES GRAFICAS,VENUSTIANO CARRANZA,9,  -99.1258705526,19.4113463978 
AVIACION CIVIL,VENUSTIANO CARRANZA,8,  -99.0796617119,19.4151260367 
AZTECA,VENUSTIANO CARRANZA,6,  -99.1079557082,19.4384228454 
CARACOL,VENUSTIANO CARRANZA,13,  -99.0696022156,19.4262225574 
CUCHILLA PANTITLAN,VENUSTIANO CARRANZA,14,  -99.0636202555,19.4220541673 
EL ARENAL 1A SECCION,VENUSTIANO CARRANZA,18,  -99.0633202592,19.4250609099 
EL ARENAL 3A SECCION,VENUSTIANO CARRANZA,6,  -99.0565176271,19.4253285415 
EL ARENAL 4A SECCION,VENUSTIANO CARRANZA,22,  -99.0573267383,19.4293912667 
EL ARENAL PTO AEREO (FRACC),VENUSTIANO CARRANZA,7,  -99.0608757738,19.4286918638 
EL PARQUE,VENUSTIANO CARRANZA,8,  -99.1178022279,19.423313211 
EMILIO CARRANZA,VENUSTIANO CARRANZA,13,  -99.1206942134,19.4493647246 
FEDERAL,VENUSTIANO CARRANZA,17,  -99.0888215221,19.4202837411 
FELIPE ANGELES,VENUSTIANO CARRANZA,10,  -99.1122459477,19.4526551282 
KENNEDY (U HAB),VENUSTIANO CARRANZA,7,  -99.1114162463,19.4197656963 
LORENZO BOTURINI,VENUSTIANO CARRANZA,10,  -99.124800073,19.4159216512 
MAGDALENA  MIXHUCA,VENUSTIANO CARRANZA,7,  -99.1181313602,19.407130147 
MAGDALENA  MIXHUCA (PBLO),VENUSTIANO CARRANZA,6,  -99.1162522721,19.4101920673 
MERCED BALBUENA,VENUSTIANO CARRANZA,10,  -99.1237598471,19.4203027064 
MOCTEZUMA 1A SECCION,VENUSTIANO CARRANZA,13,  -99.1060130959,19.4281544125 
PENITENCIARIA (AMPL),VENUSTIANO CARRANZA,13,  -99.1162092822,19.4364891872 
PEON DE LOS BAOS,VENUSTIANO CARRANZA,6,  -99.0706198005,19.4355893717 
POPULAR RASTRO,VENUSTIANO CARRANZA,9,  -99.1187422961,19.4528213358 
PRIMERO DE MAYO,VENUSTIANO CARRANZA,6,  -99.1015708187,19.4455700694 
PUEBLA,VENUSTIANO CARRANZA,8,  -99.0822714288,19.4093895139 
ROMERO RUBIO,VENUSTIANO CARRANZA,17,  -99.0970501609,19.442250268 
VALLE GOMEZ,VENUSTIANO CARRANZA,7,  -99.1190095588,19.4568685341 
VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,6,  -99.1114120377,19.43921016 
VIADUCTO  - BALBUENA )CONJ HAB),VENUSTIANO CARRANZA,11,  -99.1098281363,19.4073493198 
10 DE MAYO,VENUSTIANO CARRANZA,7,  -99.1179899304,19.4335166035 
20 DE NOVIEMBRE,VENUSTIANO CARRANZA,10,  -99.1089960692,19.4442684985 
5TO TRAMO DE 20 DE NOVIEMBRE,VENUSTIANO CARRANZA,12,  -99.1076722783,19.449885185 
CENTRO I,VENUSTIANO CARRANZA,12,  -99.1223758498,19.4328219759 
IGNACIO ZARAGOZA I,VENUSTIANO CARRANZA,6,  -99.0946992338,19.4131119713 
JARDIN BALBUENA I,VENUSTIANO CARRANZA,16,  -99.1053538347,19.4215844077 
JARDIN BALBUENA III,VENUSTIANO CARRANZA,10,  -99.1049634006,19.4130018736 
MOCTEZUMA 2A SECCION I,VENUSTIANO CARRANZA,7,  -99.0937850965,19.4368906727 
MOCTEZUMA 2A SECCION II,VENUSTIANO CARRANZA,17,  -99.0942563288,19.431452146 
MOCTEZUMA 2A SECCION III,VENUSTIANO CARRANZA,14,  -99.102651431,19.4327619445 
MOCTEZUMA 2A SECCION IV,VENUSTIANO CARRANZA,18,  -99.0977018033,19.4265219668 
MORELOS I,VENUSTIANO CARRANZA,15,  -99.1230601603,19.4448284354 
MORELOS II,VENUSTIANO CARRANZA,30,  -99.1183549378,19.4415560237 
PENSADOR MEXICANO II,VENUSTIANO CARRANZA,16,  -99.0885066854,19.4417920512 
